id_categorie_billet;id_salle;nom_salle;categorie_billet;jauge_categorie_billet;type_tarif;id_cat_profil;id_cat_horaire;profil_tarif;horaire_tarif;tarif_brut
SCSR02;SCSR;Salle Richelieu;B;191;ABONNEMENT;CP011;CH001;Carte Famille / Tarif adulte;Horaire Indifférencié;30
SCSR02;SCSR;Salle Richelieu;B;191;ABONNEMENT;CP012;CH001;Carte Famille / Tarif moins de 28 ans;Horaire Indifférencié;15
SCSR02;SCSR;Salle Richelieu;B;191;GROUPE;CP013;CH002;Collectivités;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;30
SCSR02;SCSR;Salle Richelieu;B;191;GROUPE;CP013;CH003;Collectivités;Vendredi & samedi à 20h30;34
SCSR02;SCSR;Salle Richelieu;B;191;GROUPE;CP013;CH004;Collectivités;Samedi 14h & dimanche à 20h30;30
SCSR02;SCSR;Salle Richelieu;B;191;GROUPE;CP014;CH001;Enseignement (groupes scolaires);Horaire Indifférencié;15
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP001;CH002;Plein tarif;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;16
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP001;CH003;Plein tarif;Vendredi & samedi à 20h30;18
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP001;CH004;Plein tarif;Samedi 14h & dimanche à 20h30;15
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP002;CH002;Moins de 30 ans + plus de 28 ans;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;16
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP002;CH003;Moins de 30 ans + plus de 28 ans;Vendredi & samedi à 20h30;18
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP002;CH004;Moins de 30 ans + plus de 28 ans;Samedi 14h & dimanche à 20h30;15
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP003;CH002;Moins de 28 ans;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;10
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP003;CH003;Moins de 28 ans;Vendredi & samedi à 20h30;10
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP003;CH004;Moins de 28 ans;Samedi 14h & dimanche à 20h30;10
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP004;CH002;Demandeurs d'emploi;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;11
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP004;CH003;Demandeurs d'emploi;Vendredi & samedi à 20h30;11
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP004;CH004;Demandeurs d'emploi;Samedi 14h & dimanche à 20h30;11
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP005;CH001;Minima Sociaux;Horaire Indifférencié;6
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP006;CH001;Personne en situation de handicap adulte;Horaire Indifférencié;12
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP007;CH001;Personne en situation de handicap moins de 28 ans;Horaire Indifférencié;10
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP008;CH001;Accompagnateur, accompagnatrice sous condition;Horaire Indifférencié;0
SCSR03;SCSR;Salle Richelieu;C;262;ABONNEMENT;CP009;CH001;Carte Adulte;Horaire Indifférencié;15
SCSR03;SCSR;Salle Richelieu;C;262;ABONNEMENT;CP010;CH001;Carte Jeune / Tarif moins de 28 ans;Horaire Indifférencié;10
SCSR03;SCSR;Salle Richelieu;C;262;ABONNEMENT;CP011;CH001;Carte Famille / Tarif adulte;Horaire Indifférencié;15
SCSR03;SCSR;Salle Richelieu;C;262;ABONNEMENT;CP012;CH001;Carte Famille / Tarif moins de 28 ans;Horaire Indifférencié;10
SCSR03;SCSR;Salle Richelieu;C;262;GROUPE;CP013;CH002;Collectivités;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;15
SCSR03;SCSR;Salle Richelieu;C;262;GROUPE;CP013;CH003;Collectivités;Vendredi & samedi à 20h30;18
SCSR03;SCSR;Salle Richelieu;C;262;GROUPE;CP013;CH004;Collectivités;Samedi 14h & dimanche à 20h30;15
SCSR03;SCSR;Salle Richelieu;C;262;GROUPE;CP014;CH001;Enseignement (groupes scolaires);Horaire Indifférencié;10
SCSR03;SCSR;Salle Richelieu;C;262;GROUPE;CP015;CH001;Formations (groupes enseignants);Horaire Indifférencié;13
SCSR03;SCSR;Salle Richelieu;C;262;GROUPE;CP016;CH001;Champ médico-social;Horaire Indifférencié;6
SCSR04;SCSR;Salle Richelieu;Petit bureau;88;INDIVIDUEL;CP001;CH002;Plein tarif;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;5
